bam_prefix	stanfordUUID	aliquot_id	Case_UUID	Case_ID
CHOL-500901B3-0753-4499-9A97-91CEF27C355E-X005-S03-L006-B1-T2-P015	500901B3-0753-4499-9A97-91CEF27C355E	TCGA-W7-A93N-01A-21-A617-42	d64d8a1b-b31f-4cbb-a586-5ec7f058f0de	TCGA-W7-A93N-01A-21-A617-42
BRCA-503860D0-4069-4F6F-91F2-FFB24C3EA1E5-X005-S08-L018-B1-T1-P014	503860D0-4069-4F6F-91F2-FFB24C3EA1E5	TCGA-C8-A12Q-01A-31-A615-42	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	TCGA-C8-A12Q-01A-31-A615-42
BRCA-503860D0-4069-4F6F-91F2-FFB24C3EA1E5-X005-S08-L019-B1-T2-P015	503860D0-4069-4F6F-91F2-FFB24C3EA1E5	TCGA-C8-A12Q-01A-31-A615-42	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	TCGA-C8-A12Q-01A-31-A615-42
THCA-5040673F-93A4-48BC-A015-D0DA9C69F0B4-X027-S07-L089-B1-T1-P065	5040673F-93A4-48BC-A015-D0DA9C69F0B4	TCGA-BJ-A3PU-01A-22-A644-42	4cccc34b-daf6-41ca-9bf8-f1614525eac9	TCGA-BJ-A3PU-01A-22-A644-42
THCA-5040673F-93A4-48BC-A015-D0DA9C69F0B4-X027-S07-L090-B1-T2-P064	5040673F-93A4-48BC-A015-D0DA9C69F0B4	TCGA-BJ-A3PU-01A-22-A644-42	4cccc34b-daf6-41ca-9bf8-f1614525eac9	TCGA-BJ-A3PU-01A-22-A644-42
KIRP-505F564D-34DD-4D23-BB66-E55A20D17D60-X008-S05-L009-B1-T1-P021	505F564D-34DD-4D23-BB66-E55A20D17D60	TCGA-HE-A5NK-01A-31-A616-42	f9306cb1-c4e4-42eb-8aa9-ee906c408e10	TCGA-HE-A5NK-01A-31-A616-42
KIRP-505F564D-34DD-4D23-BB66-E55A20D17D60-X008-S05-L010-B1-T2-P030	505F564D-34DD-4D23-BB66-E55A20D17D60	TCGA-HE-A5NK-01A-31-A616-42	f9306cb1-c4e4-42eb-8aa9-ee906c408e10	TCGA-HE-A5NK-01A-31-A616-42
KIRP-519FD510-1C90-4477-ADEA-078669DC38F2-X022-S09-L063-B1-T1-P048	519FD510-1C90-4477-ADEA-078669DC38F2	TCGA-B9-A44B-01A-31-A616-42	b809c2f2-185c-496a-a1d4-589294443a1d	TCGA-B9-A44B-01A-31-A616-42
KIRP-519FD510-1C90-4477-ADEA-078669DC38F2-X022-S09-L064-B1-T2-P049	519FD510-1C90-4477-ADEA-078669DC38F2	TCGA-B9-A44B-01A-31-A616-42	b809c2f2-185c-496a-a1d4-589294443a1d	TCGA-B9-A44B-01A-31-A616-42
LIHC-51CD5E23-C95F-4399-B77F-95B4C33E9173-X030-S06-L035-B1-T1-P076	51CD5E23-C95F-4399-B77F-95B4C33E9173	TCGA-G3-AAV0-01A-21-A644-42	6e657705-8579-433b-af7a-b6155b599518	TCGA-G3-AAV0-01A-21-A644-42
